iter	Logloss
0	0.633937034
1	0.5795708068
2	0.533397009
3	0.493705144
4	0.4592675206
5	0.4286144939
6	0.4014751466
7	0.3774150962
8	0.3569610324
9	0.337758521
10	0.3230539652
11	0.3088308036
12	0.2975479228
13	0.2867061027
14	0.2768833617
15	0.2689225694
16	0.26145954
17	0.254667742
18	0.2483119767
19	0.2423468218
20	0.2375378775
21	0.2322483817
22	0.2281016328
23	0.2244525409
24	0.2210658957
25	0.2176603264
26	0.2151094491
27	0.2130698061
28	0.2109430248
29	0.2091979539
30	0.2070374159
31	0.2050747501
32	0.2033274123
33	0.2018804326
34	0.2000871786
35	0.1985687855
36	0.197148758
37	0.1959266628
38	0.1947150815
39	0.1936642764
40	0.19271779
41	0.1915065328
42	0.190446137
43	0.1896878999
44	0.1889345352
45	0.1879008349
46	0.1872437388
47	0.1866433379
48	0.1859829782
49	0.1852293748
50	0.1846741366
51	0.1839302517
52	0.1835027484
53	0.1830258129
54	0.182493619
55	0.181938679
56	0.1812852496
57	0.1808377801
58	0.1804283086
59	0.1798080412
60	0.1793715615
61	0.1789580922
62	0.1786812558
63	0.1783122681
64	0.1779386726
65	0.1776698764
66	0.1771446916
67	0.1767249122
68	0.176283289
69	0.1758010911
70	0.1753164709
71	0.175011405
72	0.1746222691
73	0.1743649617
74	0.1739371583
75	0.1736573475
76	0.1734432315
77	0.1731676424
78	0.1727452637
79	0.172543327
80	0.1722511177
81	0.1721107939
82	0.1719169773
83	0.1717866451
84	0.1715353642
85	0.1712249453
86	0.1710213589
87	0.1708447964
88	0.1706466747
89	0.1704889628
90	0.1702806777
91	0.1700126393
92	0.1698359138
93	0.1696432304
94	0.1694305294
95	0.1693256281
96	0.1690934262
97	0.1689082666
98	0.168735633
99	0.1684871367
100	0.1682976866
101	0.1681447789
102	0.1679455067
103	0.1677974343
104	0.1676767922
105	0.1675816078
106	0.1675133168
107	0.1672552151
108	0.1671022518
109	0.1668837194
110	0.1667617292
111	0.1665240714
112	0.1664071776
113	0.166214583
114	0.1661082279
115	0.1657480332
116	0.1655134397
117	0.1652412964
118	0.1651642089
119	0.1649972186
120	0.1649499355
121	0.164870226
122	0.1647843451
123	0.1645939823
124	0.1644978944
125	0.1644419364
126	0.1642180883
127	0.1640947574
128	0.1639531007
129	0.1635932355
130	0.1635088409
131	0.1633661311
132	0.1632889988
133	0.163183754
134	0.1630527596
135	0.1629927242
136	0.1629010422
137	0.1627116461
138	0.1626061401
139	0.1624271091
140	0.162357693
141	0.162214773
142	0.1621628883
143	0.1620892224
144	0.1619583599
145	0.1618245437
146	0.1617640937
147	0.1616791971
148	0.1616323784
149	0.1615126529
150	0.1614659455
151	0.1613829998
152	0.161210148
153	0.1611382514
154	0.1610662663
155	0.1610103912
156	0.1609132161
157	0.1608169905
158	0.1607244083
159	0.1606764061
160	0.1605528083
161	0.1602993951
162	0.1601900518
163	0.1601116268
164	0.1600031111
165	0.1599584512
166	0.1599071386
167	0.1598221016
168	0.1597624062
169	0.1596483751
170	0.1596124268
171	0.1595182768
172	0.159304247
173	0.1592458438
174	0.1591938784
175	0.1591138063
176	0.159033587
177	0.1589340258
178	0.1587943949
179	0.1586817867
180	0.1586106551
181	0.1584807333
182	0.1583547726
183	0.1582192562
184	0.1581405067
185	0.1581005719
186	0.1578741773
187	0.1578280076
188	0.1577783247
189	0.1576727438
190	0.1575828545
191	0.1574468799
192	0.1574042725
193	0.1573083665
194	0.1571506884
195	0.157097085
196	0.157031882
197	0.1569149058
198	0.1567227871
199	0.1566578236
200	0.1565379856
201	0.1564784269
202	0.1563852098
203	0.1561726385
204	0.1560775939
205	0.1559901905
206	0.1558678622
207	0.1557427006
208	0.1556801929
209	0.1555850284
210	0.1555130268
211	0.1554086664
212	0.1553500458
213	0.1553062195
214	0.1552374138
215	0.1550819333
216	0.1549911109
217	0.1548848733
218	0.1548338742
219	0.154703615
220	0.1545141735
221	0.1544502148
222	0.1542976603
223	0.1542546685
224	0.154149753
225	0.1540440404
226	0.1539897165
227	0.1538879351
228	0.1537472871
229	0.1536306081
230	0.153565477
231	0.1534182803
232	0.1533338641
233	0.1532736332
234	0.1531771767
235	0.1531161609
236	0.1530388001
237	0.1529497557
238	0.1528982585
239	0.1528101504
240	0.1527686621
241	0.1526258264
242	0.1525282247
243	0.1524595037
244	0.1523967806
245	0.1523477158
246	0.1523049123
247	0.1522066492
248	0.1521318312
249	0.1520513016
250	0.1519143745
251	0.1518175745
252	0.1516793611
253	0.151560918
254	0.1514806606
255	0.1514249847
256	0.1513773528
257	0.1512720259
258	0.1511801831
259	0.1510206026
260	0.151009107
261	0.150922106
262	0.1507984926
263	0.1507268212
264	0.1505964362
265	0.1504557329
266	0.1503883349
267	0.1503199703
268	0.1502247789
269	0.1501202
270	0.1500322668
271	0.1498500365
272	0.1496741774
273	0.1496221489
274	0.1495408012
275	0.1494844183
276	0.149420792
277	0.1492626642
278	0.1491505256
279	0.1490290997
280	0.1488690433
281	0.1488166304
282	0.1487264262
283	0.148651507
284	0.1485624724
285	0.1485226013
286	0.1483809545
287	0.1482957016
288	0.1482443676
289	0.1481883966
290	0.1480837837
291	0.1480093325
292	0.1479731874
293	0.1478717425
294	0.1477010476
295	0.1475608376
296	0.147490773
297	0.1474260102
298	0.1473757147
299	0.1472851412
300	0.1471545383
301	0.1470339596
302	0.1469960189
303	0.1469242892
304	0.1468725401
305	0.1468153905
306	0.146696478
307	0.1466398287
308	0.1465116505
309	0.1464349789
310	0.1463809203
311	0.1462651821
312	0.1462123304
313	0.1461348981
314	0.1461257768
315	0.1460956752
316	0.1460855087
317	0.1460333193
318	0.1459413023
319	0.145899554
320	0.14582889
321	0.145714927
322	0.145644411
323	0.1455625919
324	0.1455265135
325	0.1454910078
326	0.1453660243
327	0.1452982878
328	0.1452193779
329	0.1451119343
330	0.1450043533
331	0.1448904343
332	0.1447476343
333	0.144675998
334	0.1446313796
335	0.1445753336
336	0.1445268158
337	0.1444290124
338	0.144338417
339	0.1442309245
340	0.1442035045
341	0.1441379217
342	0.1440277754
343	0.1439857694
344	0.1439146156
345	0.1438485278
346	0.1437135027
347	0.1436673185
348	0.1435540462
349	0.1434862901
350	0.1433531535
351	0.1433205903
352	0.1432589745
353	0.1431546614
354	0.1430288166
355	0.1429784509
356	0.1429177388
357	0.1428581426
358	0.1427806425
359	0.1427430966
360	0.1426568526
361	0.1425672848
362	0.1423716053
363	0.1422990857
364	0.1422624413
365	0.1421338167
366	0.1420732658
367	0.1419729963
368	0.1419066794
369	0.1418624934
370	0.1417832512
371	0.1417242003
372	0.1416557166
373	0.1416147276
374	0.1415533632
375	0.1414904724
376	0.1414166894
377	0.1413531594
378	0.1412430992
379	0.1412027855
380	0.1411334805
381	0.1410848329
382	0.1410638921
383	0.141020437
384	0.1409556708
385	0.1408939851
386	0.140817038
387	0.1407576103
388	0.1407204031
389	0.1406628004
390	0.1405563722
391	0.1404581021
392	0.1403783405
393	0.140345152
394	0.1402964112
395	0.1402636572
396	0.1401399831
397	0.1400833958
398	0.1400522194
399	0.1399441819
